"","true_like","ml_like","ml_X1","ml_X2","ml_X3","ml_X4","true_X1","true_X2","true_X3","true_X4","M","N","z","run","seed","p","nbio","nevents"
"sub.14111",-457.248506020273,-457.248506020273,3,3,1,2,3,3,1,2,250,4,15,15,1525095415,0.95,4,1
"sub.15111",-347.441125606082,-347.441125606082,1,1,1,1,1,1,1,1,250,4,16,15,1525095416,0.95,4,1
"sub.16111",-492.161578701939,-492.161578701939,1,3,2,2,1,3,2,2,250,4,17,15,1525095417,0.95,4,1
"sub.17111",-452.889293480796,-452.889293480796,1,1,2,1,1,1,2,1,250,4,18,15,1525095418,0.95,4,1
"sub.18111",-495.022256191182,-495.022256191182,1,3,2,1,1,3,2,1,250,4,19,15,1525095419,0.95,4,1
"sub.19111",-344.499445207078,-344.499445207078,1,1,1,1,1,1,1,1,250,4,20,15,1525095420,0.95,4,1
"sub112",-490.157057828321,-490.157057828321,1,2,1,2,1,2,1,2,250,4,1,16,162509541,0.95,3,2
"sub.1504",-360.086660560389,-360.086660560389,1,1,1,1,1,1,1,1,250,4,2,16,162509542,0.95,3,2
"sub.2112",-474.402713407865,-474.402713407865,1,2,3,3,1,2,3,3,250,4,3,16,162509543,0.95,3,2
"sub.3112",-466.173548923095,-466.173548923095,1,2,1,1,1,2,1,1,250,4,4,16,162509544,0.95,3,2
"sub.4112",-444.139102445142,-444.139102445142,1,1,1,2,1,1,1,2,250,4,5,16,162509545,0.95,3,2
"sub.5112",-472.016955980956,-472.016955980956,1,1,3,2,1,1,3,2,250,4,6,16,162509546,0.95,3,2
"sub.6112",-448.537236795742,-448.537236795742,2,2,1,3,2,2,1,3,250,4,7,16,162509547,0.95,3,2
"sub.7112",-498.59032848983,-498.59032848983,1,2,1,3,1,2,1,3,250,4,8,16,162509548,0.95,3,2
"sub.8112",-460.093154992201,-460.093154992201,1,3,1,2,1,3,1,2,250,4,9,16,162509549,0.95,3,2
"sub.9112",-438.503215484092,-438.503215484092,1,1,2,1,1,1,2,1,250,4,10,16,1625095410,0.95,3,2
"sub.10112",-459.392982661017,-459.392982661017,1,2,3,3,1,2,3,3,250,4,11,16,1625095411,0.95,3,2
"sub.11151",-456.627990623862,-456.627990623862,2,1,1,1,2,1,1,1,250,4,12,16,1625095412,0.95,3,2
"sub.12128",-461.342784576082,-461.342784576082,1,2,2,1,1,2,2,1,250,4,13,16,1625095413,0.95,3,2
"sub.13115",-502.712338899102,-502.712338899102,3,2,1,3,3,2,1,3,250,4,14,16,1625095414,0.95,3,2
"sub.14112",-410.915228152171,-410.915228152171,1,1,1,2,1,1,1,2,250,4,15,16,1625095415,0.95,3,2
"sub.15112",-432.830578472614,-432.830578472614,1,2,2,1,1,2,2,1,250,4,16,16,1625095416,0.95,3,2
"sub.16112",-453.549991669981,-453.549991669981,3,1,2,3,3,1,2,3,250,4,17,16,1625095417,0.95,3,2
"sub.17112",-461.461809967861,-461.461809967861,2,1,3,3,2,1,3,3,250,4,18,16,1625095418,0.95,3,2
"sub.18112",-364.403585653204,-364.403585653204,1,1,1,1,1,1,1,1,250,4,19,16,1625095419,0.95,3,2
"sub.19112",-509.431794375217,-509.431794375217,1,2,4,3,1,2,4,3,250,4,20,16,1625095420,0.95,3,2
"sub113",-440.252492819547,-440.252492819547,1,1,1,2,1,1,1,2,250,4,1,17,172509541,0.95,2,2
"sub.1505",-424.748804901601,-424.748804901601,2,2,1,2,2,2,1,2,250,4,2,17,172509542,0.95,2,2
"sub.2113",-370.974568798118,-370.974568798118,1,1,1,1,1,1,1,1,250,4,3,17,172509543,0.95,2,2
"sub.3113",-429.699957102742,-429.699957102742,1,2,1,1,1,2,1,1,250,4,4,17,172509544,0.95,2,2
"sub.4113",-499.39351367536,-499.39351367536,1,2,3,4,1,2,3,4,250,4,5,17,172509545,0.95,2,2
"sub.5113",-358.023793519674,-358.023793519674,1,1,1,1,1,1,1,1,250,4,6,17,172509546,0.95,2,2
"sub.6113",-503.285821223438,-503.285821223438,3,2,4,1,3,2,4,1,250,4,7,17,172509547,0.95,2,2
"sub.7113",-445.749602577035,-445.749602577035,3,1,1,2,3,1,1,2,250,4,8,17,172509548,0.95,2,2
"sub.8113",-506.059583468184,-506.059583468184,1,2,3,4,1,2,3,4,250,4,9,17,172509549,0.95,2,2
"sub.9113",-495.533392461817,-495.533392461817,1,3,2,3,1,3,2,3,250,4,10,17,1725095410,0.95,2,2
"sub.10113",-348.319938964371,-348.319938964371,1,1,1,1,1,1,1,1,250,4,11,17,1725095411,0.95,2,2
"sub.11152",-462.437930569178,-462.437930569178,1,3,2,2,1,3,2,2,250,4,12,17,1725095412,0.95,2,2
"sub.12129",-448.061784926408,-448.061784926408,1,1,1,2,1,1,1,2,250,4,13,17,1725095413,0.95,2,2
